PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33
image_150_leftcam,1.0637837092643332,-13.6474587304462940,-0.0280067941385779,1.4725691691133644,-10.8573372797632860,11.7714002181833010,0.9614450497008493,0.1992011918889688,0.1895845498867078,-0.2003555272036431,0.9796335599565730,-0.0132571084992868,-0.1883642193323395,-0.0252383311022302,0.9817748965615758
image_150_rightcam,1.3000221747555971,-12.7640877951006310,0.0624153890662034,-0.7124675201463175,-1.6892196235333470,10.7239207869233230,0.9821082097510092,0.1864225976430750,0.0266473155810474,-0.1859959721013463,0.9823910273293460,-0.0177021971762670,-0.0294781733108240,0.0124291798120548,0.9994881453961607
image_151_leftcam,0.6783463863627171,-13.1623001232642470,0.0460149473497409,-1.1847058399912243,-5.7071722240255962,11.2601564164040900,0.9758892285168588,0.1972389231130895,0.0934720325763757,-0.1942962765523205,0.9801395596974564,-0.0396913143392950,-0.0994443089506608,0.0205730582380276,0.9948304271040671
image_151_rightcam,0.9998207622372708,-12.2303051966637530,0.0002479901004521,-2.4859935124888328,2.8108919693368382,11.5933965497883950,0.9784197971449984,0.1986921785424852,-0.0567108344214862,-0.2007232273557491,0.9791039466248293,-0.0326442598870922,0.0490396426845910,0.0433229718477956,0.9978568201679251
image_152_leftcam,0.3534819010444710,-12.7244678093088710,0.0155073135480394,-1.0215314475889132,-2.2216028999588988,11.5612264489723720,0.9789747212607292,0.2010601968629343,0.0343990169905438,-0.2002643333994792,0.9794168837568508,-0.0252341946588683,-0.0387645701709671,0.0178147424751961,0.9990895570718386
image_152_rightcam,0.6557455068558379,-10.6933978911399170,-0.0790304406403250,-4.5663399252549830,3.9931121821740607,14.2740292607492010,0.9667749641165977,0.2404042914795226,-0.0869019297575142,-0.2459612154895670,0.9674183331052193,-0.0600403967909432,0.0696365509789652,0.0794200567246574,0.9944059560147488
image_153_leftcam,0.0197816703116168,-11.8647595550875580,-0.0281206561458078,-4.8532436388421507,1.6921404705646079,14.0279919530969060,0.9697543443179864,0.2391030646293410,-0.0490534011180619,-0.2422902024152235,0.9673045842489216,-0.0749486431138767,0.0295291295161638,0.0845669307464706,0.9959801527812385
image_153_rightcam,0.6963295198705822,-10.2154289529856030,0.0748686761017567,-3.9659082945357396,1.7462159759012832,13.3218547985465640,0.9726391541261108,0.2278183033453004,-0.0455180900490396,-0.2303139218291250,0.9712464959987723,-0.0602971095641782,0.0304725002671496,0.0691307794761172,0.9971420972241083
image_154_leftcam,-0.1821389484875925,-10.7284636248481730,0.0037784713203847,-3.4305677857041852,1.5223941351907664,14.2506767123516940,0.9688858816624135,0.2441827644584913,-0.0404342164095828,-0.2460778485719784,0.9678825377369233,-0.0514692683658890,0.0265676637556721,0.0598178124419676,0.9978556952571966
image_154_rightcam,0.6792159743806394,-9.6672815750318968,0.1863634418091230,-5.7053841183441243,-0.8327420748196259,12.2669901587270760,0.9770649389739894,0.2128267732124419,-0.0069906817789431,-0.2124450048824003,0.9720205022612944,-0.1002160819640144,-0.0145335793344777,0.0994027554330409,0.9949411375976206
image_155_leftcam,-0.1821735575373398,-10.2149669692250940,0.0991460106020493,-5.0661153526169169,-1.3306529389606172,14.0246678880699470,0.9699298474495843,0.2433824255255286,0.0010420996769951,-0.2422742682231297,0.9659044401418151,-0.0912786474005488,-0.0232221873081150,0.0882814106119593,0.9958248453201946
image_155_rightcam,0.6254489916517966,-9.2690978220791358,0.3123871699045253,-4.4362565600902686,-0.7291581654773055,10.3995071223511460,0.9834933767458203,0.1809380504430137,-0.0014831719339022,-0.1804960669932203,0.9804485590739679,-0.0783695911036865,-0.0127258672428638,0.0773436804894980,0.9969232705636155
image_156_leftcam,-0.1922926297012035,-9.6104787208217797,0.1867892866767704,-5.8126957121939116,-3.1491703254313608,12.4617471543551410,0.9749657635876754,0.2201108672329158,0.0315113623614556,-0.2154618907476961,0.9702191414657454,-0.1106841956599950,-0.0549357212324466,0.1011238036242997,0.9933559497346484
image_156_rightcam,0.4412922322534462,-8.4543328769725328,0.4150227759882264,-6.1650795506924885,0.9261469479724349,9.8495801447752100,0.9851315269479182,0.1683625454789245,-0.0342042087047818,-0.1710397975178677,0.9798590301927181,-0.1030614797818894,0.0161636096930732,0.1073793938781697,0.9940867182957668
image_157_leftcam,-0.2690720939087283,-9.2235138543946569,0.3244326132304169,-5.0775740707605168,-2.2819267018375582,10.8544075070612320,0.9813300645344545,0.1910359140163100,0.0222841647085196,-0.1881646680953888,0.9775912556052728,-0.0943895897048959,-0.0398166061004156,0.0884342497003245,0.9952858993066189
image_157_rightcam,0.3311346733951847,-7.2706562653134474,0.5001702639655292,-10.3046324256689910,-2.1060495929181076,9.7622258019001684,0.9848542009404988,0.1733034739427090,0.0053017741597110,-0.1694452640403903,0.9685093883329827,-0.1824222223446324,-0.0367492229051754,0.1787609314986382,0.9832059926513899
